Country,Continent,Total 
Afghanistan,Asia,209451
Albania,Europe,334457
Algeria,Africa,271496
Andorra,Europe,47890
Angola,Africa,105288
Antarctica,Antarctica,11
Antigua and Barbuda,North America,9106
Argentina,South America,10044957
Armenia,Asia,447308
Australia,Australia,232974
Australia,Australia,3915992
Australia,Australia,105111
Australia,Australia,1800236
Australia,Australia,883620
Australia,Australia,287507
Australia,Australia,2880559
Australia,Australia,1293461
Austria,Europe,5961143
Azerbaijan,Asia,828825
Bahamas,North America,37491
Bahrain,Asia,710693
Bangladesh,Asia,2037871
Barbados,North America,106798
Belarus,Europe,994037
Belgium,Europe,4739365
Belize,North America,70757
Benin,Africa,27999
Bhutan,Asia,62627
Bolivia,South America,1194277
Bosnia and Herzegovina,Europe,401729
Botswana,Africa,329758
Brazil,South America,37081209
Brunei,Asia,279661
Bulgaria,Europe,1297523
Burkina Faso,Africa,22056
Burma,Asia,633950
Burundi,Africa,53631
Cabo Verde,Africa,63244
Cambodia,Asia,138719
Cameroon,Africa,124392
Canada,North America,629269
Canada,North America,396817
Canada,North America,1
Canada,North America,13
Canada,North America,154712
Canada,North America,88866
Canada,North America,54757
Canada,North America,11511
Canada,North America,140793
Canada,North America,3531
Canada,North America,1601325
Canada,North America,56523
Canada,North America,1320325
Canada,North America,13
Canada,North America,153651
Canada,North America,4989
Central African Republic,Africa,15368
Chad,Africa,7679
Chile,South America,5192286
China,Asia,2275
China,Asia,40774
China,Asia,14715
China,Asia,17122
China,Asia,1742
China,Asia,103248
China,Asia,13371
China,Asia,2534
China,Asia,10483
China,Asia,3292
China,Asia,6603
China,Asia,9948
China,Asia,2876106
China,Asia,72131
China,Asia,7437
China,Asia,8847
China,Asia,5075
China,Asia,3423
China,Asia,40764
China,Asia,3547
China,Asia,3547
China,Asia,1276
China,Asia,782
China,Asia,7326
China,Asia,5880
China,Asia,67040
China,Asia,7167
China,Asia,14567
China,Asia,4392
China,Asia,1647
China,Asia,1521816
China,Asia,3089
China,Asia,9743
China,Asia,11848
Colombia,South America,6359093
Comoros,Africa,9008
Republic of the Congo,Africa,25375
Democratic Republic of the Congo,Africa,95749
Costa Rica,North America,1209725
Ivory Coast,Africa,88263
Croatia,Europe,1269326
Cuba,North America,1112643
Cyprus,Europe,650685
Czech Republic,Europe,4618256
Denmark,Europe,34658
Denmark,Europe,11971
Denmark,Europe,3404407
Diamond Princess,Asia,712
Djibouti,Africa,15690
Dominica,North America,15760
Dominican Republic,North America,660790
Ecuador,South America,1057121
Egypt,Africa,515759
El Salvador,North America,201785
Equatorial Guinea,Africa,17229
Eritrea,Africa,10189
Estonia,Europe,615433
Eswatini,Africa,74267
Ethiopia,Africa,500116
Fiji,Australia,68898
Finland,Europe,1463644
France,Europe,98041
France,Europe,78055
France,Europe,201886
France,Europe,229020
France,Europe,42004
France,Europe,80017
France,Europe,494595
France,Europe,5441
France,Europe,3452
France,Europe,12271
France,Europe,3427
France,Europe,38618509
Gabon,Africa,48981
Gambia,Africa,12598
Georgia,Asia,1827537
Germany,Europe,38249060
Ghana,Africa,171229
Greece,Europe,5548487
Grenada,North America,19680
Guatemala,North America,1238247
Guinea,Africa,38267
Guinea Bissau,Africa,8960
Guyana,South America,73075
Haiti,North America,34202
Holy See,Europe,29
Honduras,North America,472250
Hungary,Europe,2196804
Iceland,Europe,209137
India,Asia,44690738
Indonesia,Asia,6738225
Iran,Asia,7572311
Iraq,Asia,2465545
Ireland,Europe,1704502
Israel,Asia,4803824
Italy,Europe,25603510
Jamaica,North America,154416
Japan,Asia,33320438
Jordan,Asia,1746997
Kazakhstan,Asia,1498668
Kenya,Africa,342937
Kiribati,Australia,5014
North Korea,Asia,1
South Korea,Asia,30615522
Kosovo,Europe,273312
Kuwait,Asia,663860
Kyrgyzstan,Asia,206708
Laos,Asia,218023
Latvia,Europe,976255
Lebanon,Asia,1232828
Lesotho,Africa,34790
Liberia,Africa,8090
Libya,Africa,507187
Liechtenstein,Europe,21432
Lithuania,Europe,1307448
Luxembourg,Europe,317367
MS Zaandam,North America,9
Madagascar,Africa,67889
Malawi,Africa,88707
Malaysia,Asia,5044718
Maldives,Asia,185738
Mali,Africa,33062
Malta,Europe,117610
Marshall Islands,Australia,15649
Mauritania,Africa,63668
Mauritius,Africa,296042
Mexico,North America,7483444
Micronesia,Australia,23948
Moldova,Europe,611140
Monaco,Europe,16121
Mongolia,Asia,1007900
Montenegro,Europe,288808
Morocco,Africa,1272490
Mozambique,Africa,233214
Namibia,Africa,171156
Nauru,Australia,5247
Nepal,Asia,1001154
Netherlands,Europe,44145
Netherlands,Europe,11804
Netherlands,Europe,45986
Netherlands,Europe,11020
Netherlands,Europe,8599981
New Zealand,Australia,7031
New Zealand,Australia,792
New Zealand,Australia,2228291
Nicaragua,North America,15655
Niger,Africa,9508
Nigeria,Africa,266598
Macedonia,Europe,346852
Norway,Europe,1479506
Oman,Asia,399449
Pakistan,Asia,1577411
Palau,Australia,5991
Panama,North America,1031731
Papua New Guinea,Australia,46825
Paraguay,South America,808401
Peru,South America,4487553
Philippines,Asia,4077452
Poland,Europe,6444960
Portugal,Europe,5570473
Qatar,Asia,495090
Romania,Europe,3346046
Russia,Europe,22075858
Rwanda,Africa,133194
Saint Kitts and Nevis,North America,6597
Saint Lucia,North America,30004
Saint Vincent and the Grenadines,North America,9589
Samoa,Australia,16607
San Marino,Europe,23616
Sao Tome and Principe,Africa,6281
Saudi Arabia,Asia,830127
Senegal,Africa,88926
Republic of Serbia,Europe,2500142
Seychelles,Africa,50665
Sierra Leone,Africa,7760
Singapore,Asia,2235294
Slovakia,Europe,2667551
Slovenia,Europe,1331707
Solomon Islands,Australia,24575
Somalia,Africa,27324
South Africa,Africa,4067067
South Sudan,Africa,18368
Spain,Europe,13770429
Sri Lanka,Asia,672039
Sudan,Africa,63829
Summer Olympics 2020,Asia,865
Suriname,South America,82467
Sweden,Europe,2699339
Switzerland,Europe,4413911
Syria,Asia,57467
Taiwan,Asia,9970937
Tajikistan,Asia,17786
United Republic of Tanzania,Africa,42906
Thailand,Asia,4728182
East Timor,Asia,23419
Togo,Africa,39396
Tonga,Australia,16810
Trinidad and Tobago,North America,189918
Tunisia,Africa,1151126
Turkey,Europe,17042722
Tuvalu,Australia,2828
United States of America,North America,103802702
Uganda,Africa,170544
Ukraine,Europe,5711929
United Arab Emirates,Asia,1053213
United Kingdom,Europe,3904
United Kingdom,Europe,18828
United Kingdom,Europe,7305
United Kingdom,Europe,31472
United Kingdom,Europe,0
United Kingdom,Europe,1930
United Kingdom,Europe,20433
United Kingdom,Europe,34991
United Kingdom,Europe,38008
United Kingdom,Europe,66391
United Kingdom,Europe,1403
United Kingdom,Europe,4
United Kingdom,Europe,2166
United Kingdom,Europe,6561
United Kingdom,Europe,24425309
Uruguay,South America,1034303
Uzbekistan,Asia,251247
Vanuatu,Australia,12014
Venezuela,South America,552162
Vietnam,Asia,11526994
West Bank and Gaza,Asia,703228
Winter Olympics 2022,Asia,535
Yemen,Asia,11945
Zambia,Africa,343135
Zimbabwe,Africa,264276
